2022-06-29 18:26:19,688 INFO    MainThread:2960 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\.config\wandb\settings
2022-06-29 18:26:19,689 INFO    MainThread:2960 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\Documents\GitHub\SpeakerEmbeddingGenerationDenoisingDiffusion\code\wandb\settings
2022-06-29 18:26:19,689 INFO    MainThread:2960 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-06-29 18:26:19,689 INFO    MainThread:2960 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'code\\DDM.py', 'program': 'C:\\Users\\aksha\\Documents\\GitHub\\SpeakerEmbeddingGenerationDenoisingDiffusion\\code\\DDM.py'}
2022-06-29 18:26:19,689 INFO    MainThread:2960 [wandb_init.py:_log_setup():428] Logging user logs to C:\Users\aksha\Documents\GitHub\SpeakerEmbeddingGenerationDenoisingDiffusion\code\wandb\run-20220629_182619-3q004fzx\logs\debug.log
2022-06-29 18:26:19,690 INFO    MainThread:2960 [wandb_init.py:_log_setup():429] Logging internal logs to C:\Users\aksha\Documents\GitHub\SpeakerEmbeddingGenerationDenoisingDiffusion\code\wandb\run-20220629_182619-3q004fzx\logs\debug-internal.log
2022-06-29 18:26:19,693 INFO    MainThread:2960 [wandb_init.py:init():462] calling init triggers
2022-06-29 18:26:19,693 INFO    MainThread:2960 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {}
2022-06-29 18:26:19,698 INFO    MainThread:2960 [wandb_init.py:init():515] starting backend
2022-06-29 18:26:19,698 INFO    MainThread:2960 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-06-29 18:26:19,714 INFO    MainThread:2960 [backend.py:ensure_launched():217] starting backend process...
2022-06-29 18:26:19,848 INFO    MainThread:2960 [backend.py:ensure_launched():222] started backend process with pid: 23840
2022-06-29 18:26:19,848 INFO    MainThread:2960 [wandb_init.py:init():525] backend started and connected
2022-06-29 18:26:19,865 INFO    MainThread:2960 [wandb_init.py:init():596] updated telemetry
2022-06-29 18:26:19,946 INFO    MainThread:2960 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2022-06-29 18:26:22,470 INFO    MainThread:2960 [wandb_run.py:_on_init():1924] communicating current version
2022-06-29 18:26:22,567 INFO    MainThread:2960 [wandb_run.py:_on_init():1928] got version response 
2022-06-29 18:26:22,567 INFO    MainThread:2960 [wandb_init.py:init():662] starting run threads in backend
2022-06-29 18:26:22,807 INFO    MainThread:2960 [wandb_run.py:_console_start():1898] atexit reg
2022-06-29 18:26:22,818 INFO    MainThread:2960 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.WRAP
2022-06-29 18:26:22,818 INFO    MainThread:2960 [wandb_run.py:_redirect():1808] Wrapping output streams.
2022-06-29 18:26:22,820 INFO    MainThread:2960 [wandb_run.py:_redirect():1832] Redirects installed.
2022-06-29 18:26:22,820 INFO    MainThread:2960 [wandb_init.py:init():688] run started, returning control to user process
2022-06-29 18:26:26,833 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:26,845 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,482 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,490 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,500 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,509 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,515 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,521 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,530 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,537 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,544 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,550 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,557 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,563 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,570 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,578 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,588 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,597 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,604 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,611 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,618 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,625 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,634 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,640 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,647 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,654 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,663 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,670 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,680 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,687 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,694 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,703 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,711 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,721 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,731 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,738 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,747 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,754 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,761 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,768 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,775 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,783 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,790 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,797 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,806 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,813 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,821 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,830 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,838 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,848 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,858 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,868 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,875 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,883 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,890 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,899 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,906 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,913 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,921 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,931 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,937 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,944 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,951 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,961 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,968 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,976 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
2022-06-29 18:26:27,983 INFO    MainThread:2960 [wandb_watch.py:watch():47] Watching
