2022-07-11 13:44:55,675 INFO    MainThread:15128 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\.config\wandb\settings
2022-07-11 13:44:55,676 INFO    MainThread:15128 [wandb_setup.py:_flush():76] Loading settings from C:\Users\aksha\Documents\GitHub\SpeakerEmbeddingGenerationDenoisingDiffusion\code\wandb\settings
2022-07-11 13:44:55,676 INFO    MainThread:15128 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-07-11 13:44:55,676 INFO    MainThread:15128 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'code\\DDM.py', 'program': 'C:\\Users\\aksha\\Documents\\GitHub\\SpeakerEmbeddingGenerationDenoisingDiffusion\\code\\DDM.py'}
2022-07-11 13:44:55,676 INFO    MainThread:15128 [wandb_init.py:_log_setup():428] Logging user logs to C:\Users\aksha\Documents\GitHub\SpeakerEmbeddingGenerationDenoisingDiffusion\code\wandb\run-20220711_134455-s2ipsfvj\logs\debug.log
2022-07-11 13:44:55,676 INFO    MainThread:15128 [wandb_init.py:_log_setup():429] Logging internal logs to C:\Users\aksha\Documents\GitHub\SpeakerEmbeddingGenerationDenoisingDiffusion\code\wandb\run-20220711_134455-s2ipsfvj\logs\debug-internal.log
2022-07-11 13:44:55,680 INFO    MainThread:15128 [wandb_init.py:init():462] calling init triggers
2022-07-11 13:44:55,680 INFO    MainThread:15128 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {}
2022-07-11 13:44:55,685 INFO    MainThread:15128 [wandb_init.py:init():515] starting backend
2022-07-11 13:44:55,686 INFO    MainThread:15128 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-07-11 13:44:55,710 INFO    MainThread:15128 [backend.py:ensure_launched():217] starting backend process...
2022-07-11 13:44:55,885 INFO    MainThread:15128 [backend.py:ensure_launched():222] started backend process with pid: 21876
2022-07-11 13:44:55,885 INFO    MainThread:15128 [wandb_init.py:init():525] backend started and connected
2022-07-11 13:44:55,900 INFO    MainThread:15128 [wandb_init.py:init():596] updated telemetry
2022-07-11 13:44:55,952 INFO    MainThread:15128 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2022-07-11 13:44:58,582 INFO    MainThread:15128 [wandb_run.py:_on_init():1924] communicating current version
2022-07-11 13:44:58,667 INFO    MainThread:15128 [wandb_run.py:_on_init():1928] got version response upgrade_message: "wandb version 0.12.21 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-07-11 13:44:58,667 INFO    MainThread:15128 [wandb_init.py:init():662] starting run threads in backend
2022-07-11 13:44:58,973 INFO    MainThread:15128 [wandb_run.py:_console_start():1898] atexit reg
2022-07-11 13:44:58,977 INFO    MainThread:15128 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.WRAP
2022-07-11 13:44:58,978 INFO    MainThread:15128 [wandb_run.py:_redirect():1808] Wrapping output streams.
2022-07-11 13:44:58,979 INFO    MainThread:15128 [wandb_run.py:_redirect():1832] Redirects installed.
2022-07-11 13:44:58,979 INFO    MainThread:15128 [wandb_init.py:init():688] run started, returning control to user process
2022-07-11 13:45:07,165 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:07,225 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,149 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,171 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,196 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,212 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,228 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,243 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,259 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,274 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,288 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,302 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,312 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,325 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,343 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,359 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,375 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,390 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,404 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,416 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,428 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,440 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,454 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,464 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,477 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,489 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,502 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,515 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,533 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,548 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,569 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,583 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,603 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,620 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,634 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,648 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,671 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,686 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,701 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,714 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,740 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,754 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,770 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,784 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,797 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,811 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,826 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,842 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,857 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,873 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,886 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,898 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,909 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,922 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,935 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,948 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,960 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,974 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,987 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:08,997 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,010 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,023 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,037 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,047 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,057 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,069 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,081 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,090 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,102 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,115 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,125 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,136 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,149 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,159 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,171 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,182 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,192 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,204 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,217 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,228 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,239 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,250 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,259 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,271 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,283 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,294 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,303 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,316 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,325 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,336 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,348 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,357 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,367 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,376 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,386 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,397 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,409 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,419 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,428 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,438 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,450 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,463 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,474 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,484 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,495 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,507 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,518 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,530 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
2022-07-11 13:45:09,543 INFO    MainThread:15128 [wandb_watch.py:watch():47] Watching
